Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
0.0,0.0,0.0,0.0,8.87,3.0,0.007,147.0,2.04
0.0,0.0,0.0,0.0,32.57,3.0,0.0361,130.0,1.54
0.0,0.0,0.0,0.0,56.48,5.0,0.1239,80.0,0.0
0.0,0.0,0.0,0.0,48.72,6.0,0.1023,169.0,1.18
0.0,0.0,0.0,0.0,41.87,4.0,0.0633,133.0,2.26
0.0,0.0,0.0,0.0,80.93,1.0,0.0283,262.0,0.38
0.0,0.0,0.0,1.0,37.32,40.0,3.1221,263.0,9.89
0.0,1.0,0.0,0.0,35.32,15.0,0.3252,229.0,1.75
0.0,0.0,0.0,0.0,24.02,25.0,0.9174,230.0,8.26
0.0,0.0,0.0,0.0,18.68,3.0,0.0413,146.0,1.37
0.0,0.0,0.0,-1.0,23.75,120.0,6.6333,2266.0,3.49
0.0,0.0,0.0,0.0,204.48,1.0,0.2312,227.0,0.44
0.0,0.0,0.0,2.0,45.62,27.0,2.5729,234.0,5.98
0.0,0.0,0.0,4.0,44.12,99.0,3.8094,830.0,7.35
0.0,0.0,0.0,0.0,3.48,3.0,0.0101,172.0,1.74
0.0,0.0,0.0,0.0,96.04,2.0,0.1718,166.0,0.6
0.0,0.0,0.0,0.0,45.69,5.0,0.2564,79.0,3.8
0.0,0.0,0.0,0.0,51.77,2.0,0.0523,159.0,1.26
0.0,0.0,0.0,0.0,12.5,4.0,0.0378,126.0,3.17
0.0,0.0,0.0,1.0,33.07,29.0,1.0124,182.0,6.59
0.0,0.0,0.0,1.0,59.52,26.0,1.9557,163.0,8.59
0.0,0.0,0.0,0.0,54.71,2.0,0.0322,85.0,0.0
0.0,1.0,0.0,0.0,58.57,15.0,0.4881,221.0,2.71
0.0,0.0,0.0,0.0,47.12,5.0,0.2094,123.0,3.25
0.0,0.0,0.0,0.0,33.08,12.0,0.1191,136.0,2.94
0.0,0.0,0.0,0.0,5.06,2.0,0.014,71.0,0.0
0.0,0.0,0.0,0.0,9.54,1.0,0.0047,50.0,0.0
0.0,0.0,0.0,0.0,43.05,4.0,0.2109,263.0,1.14
0.0,0.0,0.0,0.0,66.27,8.0,0.7054,99.0,6.06
0.0,0.0,0.0,0.0,55.73,7.0,0.1214,150.0,3.33
0.0,0.0,0.0,0.0,55.47,9.0,0.5006,203.0,1.48
0.0,0.0,0.0,0.0,55.94,13.0,0.6484,204.0,2.45
